SETTLEMENTDATE,TOTALDEMAND,SOLAR,WIND
2017-04-10 00:30:00,6459.68,0,0.9012584095
2017-04-10 01:00:00,6328.92,0,0.8766265194
2017-04-10 01:30:00,6123.94,0,0.9318599167
2017-04-10 02:00:00,5977,0,0.9474687938
2017-04-10 02:30:00,5755.53,0,0.9894340202
2017-04-10 03:00:00,5637.79,0,0.972347557
2017-04-10 03:30:00,5520.21,0,0.9601366113
2017-04-10 04:00:00,5488.77,0,0.9844073097
2017-04-10 04:30:00,5507.42,0,0.9186270016
2017-04-10 05:00:00,5620.81,0,0.8683157654
2017-04-10 05:30:00,5921.75,0,0.8583749606
2017-04-10 06:00:00,6228.76,0,0.8484250686
2017-04-10 06:30:00,6799.54,0,0.83850345
2017-04-10 07:00:00,7187.79,0.0371822213,0.8094852461
2017-04-10 07:30:00,7457.16,0.1704411687,0.7916456397
2017-04-10 08:00:00,7737.2,0.3346668279,0.812495921
2017-04-10 08:30:00,7875.12,0.511983345,0.8441005631
2017-04-10 09:00:00,7956.37,0.6757022267,0.7772759559
2017-04-10 09:30:00,7963.94,0.8127374651,0.7826502985
2017-04-10 10:00:00,7898.87,0.9244135879,0.7435523643
2017-04-10 10:30:00,7915.15,0.9898550734,0.7600464518
2017-04-10 11:00:00,7870.71,0.9986754076,0.7631826955
2017-04-10 11:30:00,7814.5,0.9986754076,0.6995742727
2017-04-10 12:00:00,7915.87,0.9986754076,0.6654234199
2017-04-10 12:30:00,8026.4,0.9993384798,0.6606167168
2017-04-10 13:00:00,8008.26,0.9986754076,0.6729182905
2017-04-10 13:30:00,7967.02,0.9970587893,0.7358252557
2017-04-10 14:00:00,7948.84,0.9970587893,0.7619602253
2017-04-10 14:30:00,7977.24,0.9744261328,0.7347467982
2017-04-10 15:00:00,7985.64,0.8907156317,0.7093397031
2017-04-10 15:30:00,7971.7,0.7715563767,0.7260131347
2017-04-10 16:00:00,8117.72,0.6360035126,0.6631077782
2017-04-10 16:30:00,8143.15,0.472437757,0.6408491809
2017-04-10 17:00:00,8298,0.297771912,0.5845634362
2017-04-10 17:30:00,8500.52,0.1314023582,0.5429857228
2017-04-10 18:00:00,8867.1,0.021186559,0.5834411704
2017-04-10 18:30:00,9131.44,0,0.6415165724
2017-04-10 19:00:00,9052.76,0,0.6096509313
2017-04-10 19:30:00,8858.39,0,0.6499953162
2017-04-10 20:00:00,8559.34,0,0.8047852674
2017-04-10 20:30:00,8373.69,0,0.7389057486
2017-04-10 21:00:00,8148.51,0,0.7579265237
2017-04-10 21:30:00,7985.62,0,0.6903730802
2017-04-10 22:00:00,7783.09,0,0.727082118
2017-04-10 22:30:00,7768.31,0,0.6908298431
2017-04-10 23:00:00,7609.21,0,0.6849308081
2017-04-10 23:30:00,7548.56,0,0.6180347172
2017-04-11 00:00:00,7486.18,0,0.5874590889
