SETTLEMENTDATE,SOLAR
2016-11-01 13:00:00,0.9986708924
2016-11-01 13:05:00,0.9993354138
2016-11-01 13:10:00,0.9986708924
2016-11-01 13:15:00,1
2016-11-01 13:20:00,0.9980078617
2016-11-01 13:25:00,0.9993354138
2016-11-01 13:30:00,0.9993354138
2016-11-01 13:35:00,0.9993354138
2016-11-01 13:40:00,0.9986708924
2016-11-01 13:45:00,0.9993354138
2016-11-01 13:50:00,0.9993354138
2016-11-01 13:55:00,0.9993354138
2016-11-01 14:00:00,0.9993354138
2016-11-01 14:05:00,0.9993354138
2016-11-01 14:10:00,0.9980094821
2016-11-01 14:15:00,0.9928541754
2016-11-01 14:20:00,0.9863729369
2016-11-01 14:25:00,0.9798916985
2016-11-01 14:30:00,0.9734104601
2016-11-01 14:35:00,0.9604479832
2016-11-01 14:40:00,0.9474855063
2016-11-01 14:45:00,0.9390137499
2016-11-01 14:50:00,0.9247252765
2016-11-01 14:55:00,0.9077816341
2016-11-01 15:00:00,0.8921624328
2016-11-01 15:05:00,0.8758833766
2016-11-01 15:10:00,0.858275148
2016-11-01 15:15:00,0.8393378119
2016-11-01 15:20:00,0.819740556
2016-11-01 15:25:00,0.7929943646
2016-11-01 15:30:00,0.7747247904
2016-11-01 15:35:00,0.7531338408
2016-11-01 15:40:00,0.7322058571
2016-11-01 15:45:00,0.7139346626
2016-11-01 15:50:00,0.6878562332
2016-11-01 15:55:00,0.661111662
2016-11-01 16:00:00,0.6401868541
2016-11-01 16:05:00,0.6141052488
2016-11-01 16:10:00,0.5978230168
2016-11-01 16:15:00,0.568424897
2016-11-01 16:20:00,0.5350439266
2016-11-01 16:25:00,0.5147837697
2016-11-01 16:30:00,0.4468905935
2016-11-01 16:35:00,0.4486817485
2016-11-01 16:40:00,0.3925864354
2016-11-01 16:45:00,0.4076518797
2016-11-01 16:50:00,0.3789182813
2016-11-01 16:55:00,0.3415545899
2016-11-01 17:00:00,0.3013839388
2016-11-01 17:05:00,0.2859213242
2016-11-01 17:10:00,0.2631579186
2016-11-01 17:15:00,0.222984027
2016-11-01 17:20:00,0.1940953973
2016-11-01 17:25:00,0.1414669635
2016-11-01 17:30:00,0.1742956028
2016-11-01 17:35:00,0.1354525039
2016-11-01 17:40:00,0.1238175791
2016-11-01 17:45:00,0.0796641422
2016-11-01 17:50:00,0.0897720873
2016-11-01 17:55:00,0.0759915485
2016-11-01 18:00:00,0.0681843135
2016-11-01 18:05:00,0.0595558407
2016-11-01 18:10:00,0.0431201978
2016-11-01 18:15:00,0.0331657285
2016-11-01 18:20:00,0.0240293211
2016-11-01 18:25:00,0.0207080105
2016-11-01 18:30:00,0.0173929867
2016-11-01 18:35:00,0.0095857516
2016-11-01 18:40:00,0.0082597551
2016-11-01 18:45:00,0.0016203096
2016-11-01 18:50:00,0.0016203096
2016-11-01 18:55:00,0.0016203096
2016-11-01 19:00:00,0.0016203096
2016-11-01 19:05:00,0
2016-11-01 19:10:00,0
2016-11-01 19:15:00,0
2016-11-01 19:20:00,0
2016-11-01 19:25:00,0
2016-11-01 19:30:00,0
2016-11-01 19:35:00,0
2016-11-01 19:40:00,0
2016-11-01 19:45:00,0
2016-11-01 19:50:00,0
2016-11-01 19:55:00,0
2016-11-01 20:00:00,0
2016-11-01 20:05:00,0
2016-11-01 20:10:00,0
2016-11-01 20:15:00,0
2016-11-01 20:20:00,0
2016-11-01 20:25:00,0
2016-11-01 20:30:00,0
2016-11-01 20:35:00,0
2016-11-01 20:40:00,0
2016-11-01 20:45:00,0
2016-11-01 20:50:00,0
2016-11-01 20:55:00,0
2016-11-01 21:00:00,0
2016-11-01 21:05:00,0
2016-11-01 21:10:00,0
2016-11-01 21:15:00,0
2016-11-01 21:20:00,0
2016-11-01 21:25:00,0
2016-11-01 21:30:00,0
2016-11-01 21:35:00,0
2016-11-01 21:40:00,0
2016-11-01 21:45:00,0
2016-11-01 21:50:00,0
2016-11-01 21:55:00,0
2016-11-01 22:00:00,0
2016-11-01 22:05:00,0
2016-11-01 22:10:00,0
2016-11-01 22:15:00,0
