SETTLEMENTDATE,WIND
2016-11-01 11:45:00,0.8091238062
2016-11-01 11:50:00,0.805130503
2016-11-01 11:55:00,0.7798835329
2016-11-01 12:00:00,0.8068517701
2016-11-01 12:05:00,0.80356783
2016-11-01 12:10:00,0.8196819489
2016-11-01 12:15:00,0.8211259131
2016-11-01 12:20:00,0.8544528114
2016-11-01 12:25:00,0.8462426948
2016-11-01 12:30:00,0.8767039987
2016-11-01 12:35:00,0.8913892625
2016-11-01 12:40:00,0.9149484808
2016-11-01 12:45:00,0.9113575813
2016-11-01 12:50:00,0.9338676553
2016-11-01 12:55:00,0.9206216539
2016-11-01 13:00:00,0.9006117497
2016-11-01 13:05:00,0.9316788365
2016-11-01 13:10:00,0.9501648737
2016-11-01 13:15:00,0.970573408
2016-11-01 13:20:00,0.9628044912
2016-11-01 13:25:00,1
2016-11-01 13:30:00,0.9298138668
2016-11-01 13:35:00,0.9893073263
2016-11-01 13:40:00,0.9518176468
2016-11-01 13:45:00,0.9434760009
2016-11-01 13:50:00,0.9446543249
2016-11-01 13:55:00,0.9442957586
2016-11-01 14:00:00,0.9380170028
2016-11-01 14:05:00,0.9272465878
2016-11-01 14:10:00,0.9466917963
2016-11-01 14:15:00,0.9547243236
2016-11-01 14:20:00,0.9702685589
2016-11-01 14:25:00,0.9723967361
2016-11-01 14:30:00,0.9567102393
2016-11-01 14:35:00,0.9693906021
2016-11-01 14:40:00,0.9709341872
2016-11-01 14:45:00,0.9651693483
2016-11-01 14:50:00,0.9047996223
2016-11-01 14:55:00,0.8990722924
2016-11-01 15:00:00,0.8884226646
2016-11-01 15:05:00,0.8535515315
2016-11-01 15:10:00,0.8590524839
2016-11-01 15:15:00,0.873212295
2016-11-01 15:20:00,0.8901228729
2016-11-01 15:25:00,0.878854395
2016-11-01 15:30:00,0.8935676104
2016-11-01 15:35:00,0.8701803026
2016-11-01 15:40:00,0.8878420977
2016-11-01 15:45:00,0.9214272062
2016-11-01 15:50:00,0.9068784079
2016-11-01 15:55:00,0.9268092422
2016-11-01 16:00:00,0.8581879093
2016-11-01 16:05:00,0.874729648
2016-11-01 16:10:00,0.8762488963
2016-11-01 16:15:00,0.8669203767
2016-11-01 16:20:00,0.8888408051
2016-11-01 16:25:00,0.864166293
2016-11-01 16:30:00,0.8678109953
2016-11-01 16:35:00,0.82539352
2016-11-01 16:40:00,0.860626314
2016-11-01 16:45:00,0.8680576893
2016-11-01 16:50:00,0.8820093119
2016-11-01 16:55:00,0.8999090081
2016-11-01 17:00:00,0.9068714127
2016-11-01 17:05:00,0.8807786409
2016-11-01 17:10:00,0.8744495386
2016-11-01 17:15:00,0.899061548
2016-11-01 17:20:00,0.8750070682
2016-11-01 17:25:00,0.8467423087
2016-11-01 17:30:00,0.8452616708
2016-11-01 17:35:00,0.8264976003
2016-11-01 17:40:00,0.857599419
2016-11-01 17:45:00,0.8795505199
2016-11-01 17:50:00,0.8997132835
2016-11-01 17:55:00,0.91412493
2016-11-01 18:00:00,0.9103965049
2016-11-01 18:05:00,0.902242311
2016-11-01 18:10:00,0.8744780031
2016-11-01 18:15:00,0.8395794215
2016-11-01 18:20:00,0.8284520278
2016-11-01 18:25:00,0.7891017849
2016-11-01 18:30:00,0.7773408569
2016-11-01 18:35:00,0.7571139346
2016-11-01 18:40:00,0.7540321281
2016-11-01 18:45:00,0.7470642768
2016-11-01 18:50:00,0.7384816254
2016-11-01 18:55:00,0.7225459336
2016-11-01 19:00:00,0.7118355568
2016-11-01 19:05:00,0.7035081359
2016-11-01 19:10:00,0.6959409057
2016-11-01 19:15:00,0.6914694897
2016-11-01 19:20:00,0.7065428028
2016-11-01 19:25:00,0.7037180927
2016-11-01 19:30:00,0.7107617191
2016-11-01 19:35:00,0.713000032
2016-11-01 19:40:00,0.7045294703
2016-11-01 19:45:00,0.6988038208
2016-11-01 19:50:00,0.7051283094
